Date & Time,Temperature (°F)
"1/8/21, 5:06:20 PM",362
"1/8/21, 5:06:20 PM",363
"1/8/21, 5:06:23 PM",363
"1/8/21, 5:06:24 PM",364
"1/8/21, 5:06:27 PM",364
"1/8/21, 5:06:28 PM",366
"1/8/21, 5:06:31 PM",366
"1/8/21, 5:06:31 PM",367
"1/8/21, 5:06:34 PM",367
"1/8/21, 5:06:37 PM",367
"1/8/21, 5:06:38 PM",369
"1/8/21, 5:06:41 PM",369
"1/8/21, 5:06:43 PM",370
"1/8/21, 5:06:46 PM",370
"1/8/21, 5:06:49 PM",372
"1/8/21, 5:06:52 PM",372
"1/8/21, 5:06:52 PM",373
"1/8/21, 5:06:55 PM",373
"1/8/21, 5:06:55 PM",375
"1/8/21, 5:06:58 PM",375
"1/8/21, 5:06:58 PM",376
"1/8/21, 5:07:01 PM",376
"1/8/21, 5:07:04 PM",376
"1/8/21, 5:07:05 PM",378
"1/8/21, 5:07:08 PM",378
"1/8/21, 5:07:10 PM",379
"1/8/21, 5:07:13 PM",379
"1/8/21, 5:07:14 PM",381
"1/8/21, 5:07:17 PM",381
"1/8/21, 5:07:18 PM",383
"1/8/21, 5:07:21 PM",383
"1/8/21, 5:07:24 PM",383
"1/8/21, 5:07:27 PM",383
"1/8/21, 5:07:29 PM",384
"1/8/21, 5:07:30 PM",385
"1/8/21, 5:07:33 PM",385
"1/8/21, 5:07:35 PM",386
"1/8/21, 5:07:37 PM",388
"1/8/21, 5:07:40 PM",388
"1/8/21, 5:07:40 PM",390
"1/8/21, 5:07:43 PM",390
"1/8/21, 5:07:46 PM",392
"1/8/21, 5:07:49 PM",392
"1/8/21, 5:07:51 PM",394
"1/8/21, 5:07:54 PM",394
"1/8/21, 5:07:57 PM",394
"1/8/21, 5:08:00 PM",396
"1/8/21, 5:08:03 PM",396
"1/8/21, 5:08:06 PM",396
"1/8/21, 5:08:07 PM",398
"1/8/21, 5:08:10 PM",398
"1/8/21, 5:08:13 PM",398
"1/8/21, 5:08:16 PM",398
"1/8/21, 5:08:19 PM",398
"1/8/21, 5:08:22 PM",398
"1/8/21, 5:08:25 PM",398
"1/8/21, 5:08:28 PM",398
"1/8/21, 5:08:31 PM",398
"1/8/21, 5:08:34 PM",398
"1/8/21, 5:08:37 PM",398
"1/8/21, 5:08:38 PM",400
"1/8/21, 5:08:41 PM",400
"1/8/21, 5:08:43 PM",401
"1/8/21, 5:08:46 PM",401
"1/8/21, 5:08:47 PM",399
"1/8/21, 5:08:48 PM",401
"1/8/21, 5:08:51 PM",401
"1/8/21, 5:08:54 PM",401
"1/8/21, 5:08:57 PM",401
"1/8/21, 5:08:57 PM",399
"1/8/21, 5:08:58 PM",401
"1/8/21, 5:09:00 PM",399
"1/8/21, 5:09:02 PM",401
"1/8/21, 5:09:03 PM",399
"1/8/21, 5:09:04 PM",401
"1/8/21, 5:09:05 PM",399
"1/8/21, 5:09:06 PM",398
"1/8/21, 5:09:09 PM",398
"1/8/21, 5:09:12 PM",398
"1/8/21, 5:09:13 PM",400
"1/8/21, 5:09:16 PM",400
"1/8/21, 5:09:17 PM",398
"1/8/21, 5:09:20 PM",398
"1/8/21, 5:09:23 PM",398
"1/8/21, 5:09:26 PM",398
"1/8/21, 5:09:29 PM",398
"1/8/21, 5:09:32 PM",398
"1/8/21, 5:09:35 PM",398
"1/8/21, 5:09:39 PM",398
"1/8/21, 5:09:42 PM",398
"1/8/21, 5:09:45 PM",398
"1/8/21, 5:09:48 PM",398
"1/8/21, 5:09:51 PM",398
"1/8/21, 5:09:54 PM",398
"1/8/21, 5:09:57 PM",398
"1/8/21, 5:10:00 PM",398
"1/8/21, 5:10:03 PM",398
"1/8/21, 5:10:06 PM",398
"1/8/21, 5:10:09 PM",398
"1/8/21, 5:10:09 PM",396
"1/8/21, 5:10:12 PM",396
"1/8/21, 5:10:15 PM",396
"1/8/21, 5:10:18 PM",396
"1/8/21, 5:10:21 PM",396
"1/8/21, 5:10:24 PM",396
"1/8/21, 5:10:27 PM",396
"1/8/21, 5:10:30 PM",396
"1/8/21, 5:10:32 PM",394
"1/8/21, 5:10:34 PM",396
